,horizon,mse,rmse,mae,mape,coverage
86,123 days 00:00:00.000000000,2857.1313088834936,53.45214035830084,40.47069469279015,0.16284014858628248,0.23893805309734514
87,124 days 00:00:00.000000000,2868.873139852562,53.561862736956435,40.5923905490383,0.16306707791506564,0.24146649810366624
88,125 days 00:00:00.000000000,2952.9427578275577,54.34098598505145,41.20081035118208,0.1659860692140101,0.2418879056047197
89,126 days 00:00:00.000000000,3032.92811587298,55.0720266185382,41.6451872110316,0.16810171485786918,0.243362831858407
90,127 days 00:00:00.000000000,3062.859205712164,55.343104409783194,41.71718709719179,0.16817990954859907,0.24631268436578174
91,128 days 00:00:00.000000000,3113.369399730673,55.7975752137194,41.915421813995394,0.16883896743894233,0.2503160556257901
92,129 days 00:00:00.000000000,3170.6164132006993,56.30822686962092,42.16929114044255,0.1697119058689899,0.252212389380531
93,130 days 00:00:00.000000000,3132.868502908338,55.97203322113945,41.90514981347939,0.1682789716112849,0.2528445006321113
94,131 days 00:00:00.000000000,3111.9243573121985,55.78462473936881,41.84847471478513,0.1679086737104334,0.24841972187104927
95,132 days 00:00:00.000000000,3204.7068000644754,56.61012983613865,42.57098325558192,0.17138398912256256,0.24336283185840704
96,133 days 00:00:00.000000000,3275.3308709042526,57.23050647079975,43.05830251725706,0.17394870544569138,0.24336283185840704
97,134 days 00:00:00.000000000,3265.0395059615453,57.14052420096919,42.844167202410176,0.17306451717826854,0.2522123893805308
98,135 days 00:00:00.000000000,3309.872014037262,57.53148715301267,43.036238911898025,0.17361418483015117,0.2528445006321112
99,136 days 00:00:00.000000000,3364.071110638172,58.00061301950327,43.36018048332737,0.1746863722664033,0.25474083438685213
100,137 days 00:00:00.000000000,3300.91518239447,57.45359155348314,42.99802676529706,0.17292136342016579,0.25916561314791403
101,138 days 00:00:00.000000000,3266.2530206409633,57.15114190146128,42.9299507909182,0.17260972835660773,0.2597977243994943
102,139 days 00:00:00.000000000,3364.3313464197086,58.00285636431803,43.59149826418453,0.17595991379517006,0.2654867256637169
103,140 days 00:00:00.000000000,3459.4466521043437,58.81706089311454,44.12883334994815,0.17868758216907912,0.2743362831858408
104,141 days 00:00:00.000000000,3476.144831894367,58.958840150518284,44.03344254581999,0.1780879403573937,0.27433628318584075
105,142 days 00:00:00.000000000,3539.040225193396,59.48983295650943,44.15570995799735,0.1781618351416185,0.28318584070796465
106,143 days 00:00:00.000000000,3612.445738107744,60.10362499972646,44.43353188033397,0.17905715862341684,0.29013906447534776
107,144 days 00:00:00.000000000,3534.682154828756,59.453192974210864,43.92212195460521,0.176821143074702,0.299620733249052
108,145 days 00:00:00.000000000,3499.567611052388,59.157143364537035,43.83509925850214,0.17637752880093183,0.30025284450063194
109,146 days 00:00:00.000000000,3506.9049748368593,59.219126765234044,44.0191815738049,0.17730699657378873,0.29456384323640955
110,147 days 00:00:00.000000000,3642.6651897720308,60.35449601953471,44.827438854001684,0.18091621117821666,0.2964601769911504
111,148 days 00:00:00.000000000,3665.4408130561446,60.54288408274043,44.62123307093021,0.17988522632024273,0.3141592920353981
112,149 days 00:00:00.000000000,3730.8922796708484,61.081030440480035,44.76774283139488,0.18022172688484125,0.3268015170670037
113,150 days 00:00:00.000000000,3846.9724376396184,62.0239666390309,45.41028593890912,0.18274569180459438,0.3303834808259587
114,151 days 00:00:00.000000000,3820.4309016299007,61.809634375475,45.195518410228885,0.18185362091085716,0.343236409608091
115,152 days 00:00:00.000000000,3792.961261075595,61.587021855871505,44.99685011523816,0.18093496260728328,0.3539823008849557
116,153 days 00:00:00.000000000,3794.8836161773866,61.60262669868377,44.99013902191758,0.18094687906649887,0.3584070796460177
117,154 days 00:00:00.000000000,3923.973436348927,62.641627025077554,45.56107605474136,0.1838278882275484,0.367994100294985
118,155 days 00:00:00.000000000,3986.9628705146215,63.142401526348536,45.44297751127226,0.18310655157658665,0.3797935103244838
119,156 days 00:00:00.000000000,4073.589185688898,63.82467536689002,45.43275200786698,0.18249777213661525,0.39233038348082594
120,157 days 00:00:00.000000000,4158.838187386433,64.48905478750974,45.708876257191115,0.18298735621185566,0.3957016434892539
121,158 days 00:00:00.000000000,4087.928510005563,63.93691038833174,45.36670937690537,0.18115656166806807,0.40560471976401186
122,159 days 00:00:00.000000000,4058.529697892166,63.706590694308595,45.2945282453627,0.18051201892016752,0.4144542772861357
123,160 days 00:00:00.000000000,4224.944717131998,64.99957474577813,46.16668639666764,0.1842795505970968,0.41961651917404136
124,161 days 00:00:00.000000000,4339.62724629753,65.87584721502662,46.518805888665696,0.18618830018146998,0.4327433628318582
125,162 days 00:00:00.000000000,4364.192002917218,66.06203147737146,46.38470651237807,0.18548380782377055,0.4460176991150445
126,163 days 00:00:00.000000000,4449.121840684235,66.70173791352242,46.86257886215597,0.18725203132498555,0.44500632111251587
127,164 days 00:00:00.000000000,4588.184977339554,67.73614232697012,47.77466507176643,0.19061022440387285,0.4450063211125158
128,165 days 00:00:00.000000000,4549.331363206074,67.4487313683962,47.788788417697816,0.19033336454710179,0.45259165613147917
129,166 days 00:00:00.000000000,4569.009323680084,67.59444743231565,48.12142775910481,0.19154616665330015,0.45385587863463966
130,167 days 00:00:00.000000000,4595.130059593748,67.78738864710566,48.42907808088657,0.19277481498369167,0.45575221238938063
131,168 days 00:00:00.000000000,4770.936218136894,69.07196405298531,49.23677896342172,0.19664191680957946,0.46017699115044247
132,169 days 00:00:00.000000000,4839.67658681783,69.56778411605353,49.342744020827574,0.19680404027408877,0.4601769911504425
133,170 days 00:00:00.000000000,4968.768409227796,70.4894914808427,49.962148399284345,0.19912442986346882,0.45512010113780027
134,171 days 00:00:00.000000000,5148.84618220055,71.75546099218198,51.08979180782414,0.20303353315118094,0.4475347661188368
135,172 days 00:00:00.000000000,5126.083438085812,71.59667197632731,51.2573471983753,0.20313722546439839,0.44879898862199746
136,173 days 00:00:00.000000000,5124.49172665684,71.585555293347,51.55011004370431,0.20394150681792314,0.450063211125158
137,174 days 00:00:00.000000000,5336.979439195551,73.05463324933984,52.66972060466071,0.20867337156150012,0.44816687737041705
138,175 days 00:00:00.000000000,5509.752185811084,74.22770497469988,53.34601029235346,0.2120506552846069,0.4564896755162242
