date,open,high,low,close,volume
6/9/2015,153.73,154.49,152.221,153.77,539354
6/10/2015,154.49,155.69,153.845,154.98,571104
6/11/2015,155.01,156.46,155.01,155.37,412569
6/12/2015,154.71,156.29,154.28,155.32,341749
6/15/2015,154.47,155.32,153.57,154.57,432996
6/16/2015,154.45,156.1,154.1,155.5,386946
6/17/2015,155.68,156.39,154.59,155.62,473928
6/18/2015,156,158.75,155.62,156.48,877950
6/19/2015,156.24,156.71,154.69,154.73,570554
6/22/2015,155.79,156.4699,154.831,155.69,540640
6/23/2015,155.88,157.15,155.22,156.36,572820
6/24/2015,156.44,157.13,154.86,155.59,443188
6/25/2015,155.6,155.8,153.89,154.84,933559
6/26/2015,155.4,158.1,155.01,157.98,1160708
6/29/2015,156.26,156.95,153.24,153.68,634703
6/30/2015,154.69,154.94,152.78,154.45,618692
7/1/2015,155.94,156.48,154.3,155.42,701264
7/2/2015,155.23,156.26,154.28,156.23,801534
7/6/2015,154.79,157.34,154.25,157.23,734355
7/7/2015,157.18,159.72,156.07,159.42,984593
7/8/2015,158.01,160,157.78,158.55,1218858
7/9/2015,160,162.59,159.78,159.91,1430552
7/10/2015,162.5,163.7,160.78,163.11,876603
7/13/2015,164.45,167.13,164.02,166.95,983327
7/14/2015,167.72,167.72,165.52,167,666236
7/15/2015,167.52,168.33,166.11,168.25,731499
7/16/2015,169,169.31,166.2316,167.32,1213252
7/17/2015,167.92,168.4799,166.6,166.91,566666
7/20/2015,167.85,168.53,167.435,167.94,448025
7/21/2015,167.97,168.65,166.25,166.79,511276
7/22/2015,166.44,170.75,166.37,170.52,598526
7/23/2015,170.43,171.21,168.91,169.22,601527
7/24/2015,169.35,170.3599,168.83,169.54,501115
7/27/2015,168.45,168.87,165.67,166.39,730161
7/28/2015,167.05,167.86,164.54,166.01,651994
7/29/2015,166.25,167.2765,165.26,166.49,570348
7/30/2015,166.3,167,165.01,166.82,447370
7/31/2015,167,167.86,165.63,166.03,543184
8/3/2015,167.23,167.99,163.255,165.27,674931
8/4/2015,164.83,166.92,163.9801,165.07,441463
8/5/2015,166.52,167.77,165.54,167.01,501615
8/6/2015,167.27,167.96,163.4,164.8,629629
8/7/2015,164.7,165.97,163.39,165.61,621748
8/10/2015,167.66,169.13,167.07,168.36,573365
8/11/2015,166.96,168.51,166,168.51,559665
8/12/2015,166.6,167.5748,164.09,166.94,675491
8/13/2015,167.24,170.94,167.13,169.28,572242
8/14/2015,168.73,171.1,168.55,171.04,479394
8/17/2015,171.12,171.61,168.77,171.39,545722
8/18/2015,170.76,176.77,170.76,173.32,1023772
8/19/2015,173.65,173.933,172.001,172.62,739678
8/20/2015,171.67,172.91,168.75,171.3,840958
8/21/2015,167.77,168.46,162.17,162.57,1809948
8/24/2015,143,163.6,120.38,158.72,2739964
8/25/2015,164.11,164.4299,152.52,153.26,1752877
8/26/2015,154.3,158.87,154.04,158.05,1791632
8/27/2015,160.87,162.99,159.31,160.24,2454738
8/28/2015,164.78,169.29,158.13,159,2919641
8/31/2015,157.28,160.66,157.23,158.09,1115182
9/1/2015,155.35,156.98,153.02,153.76,1284517
9/2/2015,155.55,158.89,153.835,158.51,1041399
9/3/2015,158.6,160.87,158.26,158.93,948851
9/4/2015,157.22,158.99,156.04,157.7,601154
9/8/2015,160.72,164.68,158.02,164.61,1156352
9/9/2015,169,169.14,163.32,163.4,1416643
9/10/2015,162,165.29,161.4,164.83,1369683
9/11/2015,164.81,165.55,162.68,165.06,632071
9/14/2015,164.77,165.72,162.03,163,658895
9/15/2015,163.09,165.13,160.77,164.06,767450
9/16/2015,164.53,164.92,162.94,164.72,501663
9/17/2015,164.49,169.25,163.92,168.14,1040525
9/18/2015,167.98,170,166.91,167.23,1583922
9/21/2015,168.46,170.02,167.53,168.69,789681
9/22/2015,166.42,167.66,164.421,165.78,593616
9/23/2015,165.56,168.26,165.55,168.1,557618
9/24/2015,167.08,168.69,165.79,168.01,541858
9/25/2015,169.39,170.2149,168,169.15,769334
9/28/2015,168.02,168.35,163.42,164.36,945847
9/29/2015,163.9,164.455,160.59,161.71,820117
9/30/2015,163.95,165.93,162.354,163.35,712289
10/1/2015,164.26,165.59,162.78,165.59,828696
10/2/2015,163.91,165.79,161.005,165.76,930511
10/5/2015,166.83,168.27,165.33,168.04,1005999
10/6/2015,167.96,167.96,165.34,165.91,716201
10/7/2015,165.95,167.74,164.16,165.05,959026
10/8/2015,164.63,165.78,162.4223,163.94,601872
10/9/2015,163.81,166.2,162.56,165.8,489995
10/12/2015,166.73,167.12,164.977,166.07,557215
10/13/2015,165.54,167.33,163.33,163.85,448155
10/14/2015,163.6,164.09,158.431,159.26,622960
10/15/2015,160.3,161.21,158.04,161.06,703219
10/16/2015,161.32,167.38,161.1501,166.11,737145
10/19/2015,166.08,168.63,164.5,168.36,689904
10/20/2015,169,170.13,168.03,169.21,613156
10/21/2015,169.69,170.13,167.62,168.22,439050
10/22/2015,168.99,170.25,167.71,168.02,439557
10/23/2015,169.92,169.92,163.74,165.91,560067
10/26/2015,166.01,170,165.955,169.2,724041
10/27/2015,169.73,169.918,167.41,169.09,398292
10/28/2015,169.32,173.99,168.0101,172.96,785188
10/29/2015,172.07,173.5,171.12,173.3,469656
10/30/2015,173.36,175.719,172.74,173.96,713027
11/2/2015,174.88,175.78,171.17,172.76,611205
